,Rep,Time,Plasticiser,Mn,Mw,PD,Mn_z,Mw_z,PD_z
PHA_R1,PLA.R1,before,Ctrl,68583,202991,2.96,0.634504946,-0.317229614,-0.863747505
PHA_R2,PLA.R2,before,Ctrl,75408,216124,2.866,1.187781585,0.322991752,-0.999203404
PHA_R3,PLA.R3,before,Ctrl,48162,228528,4.745,-1.020947398,0.927675056,1.708473544
PHA_R4,PLA.R4,before,Ctrl,51031,171747,3.366,-0.788368544,-1.840345153,-0.278693306
PHA_R5,PLA.R5,before,Ctrl,79089,214046,2.706,1.486186172,0.221691212,-1.229766635
PHA_20DBP_R1,DBP.R1,before,DBP,68005,200530,2.949,-0.556189066,-0.251137053,0.233093142
PHA_20DBP_R2,DBP.R2,before,DBP,95406,269559,2.825,1.420559263,1.674649687,0.005863978
PHA_20DBP_R3,DBP.R3,before,DBP,66953,181953,2.718,-0.632081889,-0.769402424,-0.1902128
PHA_20DBP_R4,DBP.R4,before,DBP,87099,270651,3.107,0.821280099,1.705114551,0.522627076
PHA_20DBP_R5,DBP.R5,before,DBP,80735,178191,2.207,0.362171805,-0.874355556,-1.126616853
PHA_20TEC_R1,TEC.R1,before,TEC,43450,155758,3.585,-0.796889715,-0.1360278,0.849181872
PHA_20TEC_R2,TEC.R2,before,TEC,54352,165926,3.053,0.35811197,0.244695773,-0.247068446
PHA_20TEC_R3,TEC.R3,before,TEC,60981,179847,2.949,1.060414866,0.765944088,-0.461373019
PHA_20TEC_R4,TEC.R4,before,TEC,63998,202346,3.162,1.380047968,1.608381113,-0.022460768
PHA_20TEC_R5,TEC.R5,before,TEC,56533,197922,3.501,0.589175873,1.442731911,0.676089717
PHA_20ATBC_R1,TBAC.R1,before,TBAC,98986,257635,2.603,1.466627239,1.758039968,-0.374101468
PHA_20ATBC_R2,TBAC.R2,before,TBAC,74183,208480,2.81,0.004944369,0.228872681,0.035845614
PHA_20ATBC_R3,TBAC.R3,before,TBAC,74966,159646,2.13,0.051087888,-1.290308588,-1.310840454
PHA_20ATBC_R4,TBAC.R4,before,TBAC,78248,242098,3.094,0.244501716,1.274698047,0.59828509
PHA_20ATBC_R5,TBAC.R5,before,TBAC,94343,220275,2.335,1.193007372,0.59580439,-0.904854213
PHA_s4m_J1,PLA.R1,after,Ctrl,62739,238977,3.809,0.160754223,1.437053954,0.359678641
PHA_s4m_J2,PLA.R2,after,Ctrl,64255,211598,3.293,0.283650544,0.10235352,-0.38388778
PHA_s4m_J3,PLA.R3,after,Ctrl,40003,179407,4.485,-1.682366313,-1.466927376,1.333808293
PHA_s4m_J4,PLA.R4,after,Ctrl,64255,211598,3.293,0.283650544,0.10235352,-0.38388778
PHA_s4m_J5,PLA.R5,after,Ctrl,54035,219968,4.071,-0.544845757,0.510383128,0.737225932
PHA_20DBP_s4m_J1,DBP.R1,after,DBP,85016,217748,2.561,0.671009424,0.229214626,-0.477914241
PHA_20DBP_s4m_J2,DBP.R2,after,DBP,85169,204757,2.404,0.682047069,-0.133211246,-0.765615682
PHA_20DBP_s4m_J3,DBP.R3,after,DBP,54336,219397,4.038,-1.542290774,0.275218803,2.228678297
PHA_20DBP_s4m_J4,DBP.R4,after,DBP,55529,176373,3.176,-1.456226004,-0.925074533,0.649069111
PHA_20DBP_s4m_J5,DBP.R5,after,DBP,78899,176160,2.233,0.229720072,-0.931016855,-1.078972029
PHA_20TEC_s4m_J1,TEC.R1,after,TEC,35748,146509,4.098,-1.612870543,-0.482340972,1.906280393
PHA_20TEC_s4m_J2,TEC.R2,after,TEC,49354,126581,2.565,-0.171396232,-1.228511248,-1.252651444
PHA_20TEC_s4m_J3,TEC.R3,after,TEC,39950,128383,3.214,-1.167693779,-1.161038404,0.084691519
PHA_20TEC_s4m_J4,TEC.R4,after,TEC,46702,148081,3.171,-0.452359768,-0.423480089,-0.00391518
PHA_20TEC_s4m_J5,TEC.R5,after,TEC,58650,142556,2.431,0.81345936,-0.630354375,-1.528774645
PHA_20ATBC_s4m_J1,TBAC.R1,after,TBAC,88502,205671,2.324,0.848787332,0.141487249,-0.92663884
PHA_20ATBC_s4m_J2,TBAC.R2,after,TBAC,72478,176144,2.43,-0.095534173,-0.777070832,-0.716714247
PHA_20ATBC_s4m_J3,TBAC.R3,after,TBAC,53825,171978,3.195,-1.194787109,-0.906671298,0.79830758
PHA_20ATBC_s4m_J4,TBAC.R4,after,TBAC,54958,195812,3.563,-1.128017497,-0.165217263,1.527102393
PHA_20ATBC_s4m_J5,TBAC.R5,after,TBAC,50502,173490,3.435,-1.390617137,-0.859634355,1.273608545
