,Rep,Time,Plasticiser,plasticiser_pc
PHA20DBP_before_R1,DBP_R1,before,DBP,18.86475183
PHA20DBP_before_R2,DBP_R2,before,DBP,18.99767535
PHA20DBP_before_R3,DBP_R3,before,DBP,19.00298323
PHA20DBP_before_R4,DBP_R4,before,DBP,18.80079347
PHA20DBP_before_R5,DBP_R5,before,DBP,19.07192245
PHA20DBP_soil_R1,DBP_R1,after,DBP,12.50728905
PHA20DBP_soil_R2,DBP_R2,after,DBP,11.17437928
PHA20DBP_soil_R3,DBP_R3,after,DBP,8.559109266
PHA20DBP_soil_R4,DBP_R4,after,DBP,9.688193763
PHA20DBP_soil_R5,DBP_R5,after,DBP,10.89905547
PHA20TEC_before_R1,TEC_R1,before,TEC,17.274443
PHA20TEC_before_R2,TEC_R2,before,TEC,17.07057875
PHA20TEC_before_R3,TEC_R3,before,TEC,17.42257735
PHA20TEC_before_R4,TEC_R4,before,TEC,16.67097604
PHA20TEC_before_R5,TEC_R5,before,TEC,17.55926655
PHA20TEC_soil_R1,TEC_R1,after,TEC,5.659889928
PHA20TEC_soil_R2,TEC_R2,after,TEC,5.236264944
PHA20TEC_soil_R3,TEC_R3,after,TEC,6.157609234
PHA20TEC_soil_R4,TEC_R4,after,TEC,5.766988015
PHA20TEC_soil_R5,TEC_R5,after,TEC,6.263580881
PHA20ATBC_before_R1,ATBC_R1,before,TBAC,19.85933711
PHA20ATBC_before_R2,ATBC_R2,before,TBAC,19.69367957
PHA20ATBC_before_R3,ATBC_R3,before,TBAC,19.71630955
PHA20ATBC_before_R4,ATBC_R4,before,TBAC,20.03927671
PHA20ATBC_before_R5,ATBC_R5,before,TBAC,19.22312028
PHA20ATBC_soil_R1,ATBC_R1,after,TBAC,15.52677083
PHA20ATBC_soil_R2,ATBC_R2,after,TBAC,15.79309015
PHA20ATBC_soil_R3,ATBC_R3,after,TBAC,15.22514083
PHA20ATBC_soil_R4,ATBC_R4,after,TBAC,16.02474583
PHA20ATBC_soil_R5,ATBC_R5,after,TBAC,15.01440506
PHBVr1,Ctrl_R1,before,Ctrl,0
PHBVr2,Ctrl_R2,before,Ctrl,0
PHBVr3,Ctrl_R3,before,Ctrl,0
PHBVr4,Ctrl_R4,before,Ctrl,0
PHBVr5,Ctrl_R5,before,Ctrl,0
PHBVr1.2,Ctrl_R1,after,Ctrl,0
PHBVr1.3,Ctrl_R2,after,Ctrl,0
PHBVr1.4,Ctrl_R3,after,Ctrl,0
PHBVr1.5,Ctrl_R4,after,Ctrl,0
PHBVr1.6,Ctrl_R5,after,Ctrl,0
