,Treatment,Compartment,Jar,Experiment,Sobs,Chao1,Shan,PD,TreatComp,Treat.order,Comp.order
Ctrl.AS3.J1,Ctrl,AS,J1,Plasticiser,555,725.2,6.963192474,47.12728553,Ctrl.AS,a.Ctrl,b.AS
Ctrl.AS3.J2,Ctrl,AS,J2,Plasticiser,625,968.2952381,6.907341069,46.17225502,Ctrl.AS,a.Ctrl,b.AS
Ctrl.AS3.J3,Ctrl,AS,J3,Plasticiser,684,990.9722222,7.582327917,55.31540833,Ctrl.AS,a.Ctrl,b.AS
Ctrl.AS3.J4,Ctrl,AS,J4,Plasticiser,689,1045.891089,7.81640947,52.23061536,Ctrl.AS,a.Ctrl,b.AS
Ctrl.AS3.J5,Ctrl,AS,J5,Plasticiser,619,887.0373832,7.282288566,49.50179811,Ctrl.AS,a.Ctrl,b.AS
Ctrl.BS.J1,Ctrl,BS,J1,Plasticiser,593,870.2105263,7.310401213,44.40589251,Ctrl.BS,a.Ctrl,a.BS
Ctrl.BS.J2,Ctrl,BS,J2,Plasticiser,516,852.0779221,6.100521714,41.36151857,Ctrl.BS,a.Ctrl,a.BS
Ctrl.BS.J3,Ctrl,BS,J3,Plasticiser,592,845,7.198338548,49.73603072,Ctrl.BS,a.Ctrl,a.BS
Ctrl.BS.J4,Ctrl,BS,J4,Plasticiser,533,815.0631579,5.949409401,43.11966862,Ctrl.BS,a.Ctrl,a.BS
Ctrl.BS.J5,Ctrl,BS,J5,Plasticiser,515,809.0681818,6.051737861,43.64338716,Ctrl.BS,a.Ctrl,a.BS
Ctrl.P1.J1,Ctrl,P,J1,Plasticiser,300,598.0833333,5.412714377,32.50365361,Ctrl.P,a.Ctrl,c.P
Ctrl.P1.J2,Ctrl,P,J2,Plasticiser,306,604,4.717288135,31.0205723,Ctrl.P,a.Ctrl,c.P
Ctrl.P1.J3,Ctrl,P,J3,Plasticiser,277,384.0588235,4.740041287,26.86746738,Ctrl.P,a.Ctrl,c.P
Ctrl.P1.J4,Ctrl,P,J4,Plasticiser,432,660.1232877,5.491082216,36.08617848,Ctrl.P,a.Ctrl,c.P
Ctrl.P1.J5,Ctrl,P,J5,Plasticiser,337,609.7755102,5.32484221,36.14358834,Ctrl.P,a.Ctrl,c.P
DBP.AS1.J1,DBP,AS,J1,Plasticiser,595,812.6804124,7.676852585,47.73686359,DBP.AS,d.DBP,b.AS
DBP.AS1.J2,DBP,AS,J2,Plasticiser,559,818.4387755,6.509253658,44.6714298,DBP.AS,d.DBP,b.AS
DBP.AS1.J3,DBP,AS,J3,Plasticiser,475,604.3888889,6.626707563,43.11318429,DBP.AS,d.DBP,b.AS
DBP.AS1.J4,DBP,AS,J4,Plasticiser,534,769.1875,6.350694189,46.44513177,DBP.AS,d.DBP,b.AS
DBP.AS1.J5,DBP,AS,J5,Plasticiser,642,855.245614,7.681660233,48.14481769,DBP.AS,d.DBP,b.AS
DBP.BS.J1,DBP,BS,J1,Plasticiser,626,982.010101,7.154036103,49.91154289,DBP.BS,d.DBP,a.BS
DBP.BS.J2,DBP,BS,J2,Plasticiser,441,759.5538462,5.167295954,37.23598966,DBP.BS,d.DBP,a.BS
DBP.BS.J3,DBP,BS,J3,Plasticiser,432,616,5.11691424,37.03132556,DBP.BS,d.DBP,a.BS
DBP.BS.J4,DBP,BS,J4,Plasticiser,413,594.835443,5.130444472,33.7161263,DBP.BS,d.DBP,a.BS
DBP.BS.J5,DBP,BS,J5,Plasticiser,589,892.6853933,7.169603603,44.15180497,DBP.BS,d.DBP,a.BS
DBP.P1.J1,DBP,P,J1,Plasticiser,537,773.0194175,6.456486945,46.91715634,DBP.P,d.DBP,c.P
DBP.P1.J2,DBP,P,J2,Plasticiser,350,603.9772727,6.299828113,30.51335133,DBP.P,d.DBP,c.P
DBP.P1.J3,DBP,P,J3,Plasticiser,668,1058.007937,7.254877384,56.85752472,DBP.P,d.DBP,c.P
DBP.P1.J4,DBP,P,J4,Plasticiser,338,599,6.312270503,29.21199329,DBP.P,d.DBP,c.P
DBP.P1.J5,DBP,P,J5,Plasticiser,480,734.3975904,6.631791936,42.61140241,DBP.P,d.DBP,c.P
TBAC.AS3.J1,TBAC,AS,J1,Plasticiser,627,959.8947368,7.039630572,51.15796318,TBAC.AS,b.TBAC,b.AS
TBAC.AS3.J2,TBAC,AS,J2,Plasticiser,647,1111.468085,7.122057973,49.52981508,TBAC.AS,b.TBAC,b.AS
TBAC.AS3.J3,TBAC,AS,J3,Plasticiser,553,870.7954545,6.612293129,46.55666358,TBAC.AS,b.TBAC,b.AS
TBAC.AS3.J4,TBAC,AS,J4,Plasticiser,631,941.3396226,7.229597425,52.12504145,TBAC.AS,b.TBAC,b.AS
TBAC.AS3.J5,TBAC,AS,J5,Plasticiser,600,925.6285714,6.474238893,48.01479827,TBAC.AS,b.TBAC,b.AS
TBAC.BS.J1,TBAC,BS,J1,Plasticiser,573,999.0322581,5.781307005,47.67249076,TBAC.BS,b.TBAC,a.BS
TBAC.BS.J2,TBAC,BS,J2,Plasticiser,596,809.387931,6.88660958,50.14315698,TBAC.BS,b.TBAC,a.BS
TBAC.BS.J3,TBAC,BS,J3,Plasticiser,479,660.011236,5.888893869,42.44583081,TBAC.BS,b.TBAC,a.BS
TBAC.BS.J4,TBAC,BS,J4,Plasticiser,542,865.2021277,6.102460015,44.88977194,TBAC.BS,b.TBAC,a.BS
TBAC.BS.J5,TBAC,BS,J5,Plasticiser,572,809.7358491,6.647075613,47.31602718,TBAC.BS,b.TBAC,a.BS
TBAC.P3.J1,TBAC,P,J1,Plasticiser,436,675.6307692,6.465589987,41.03282118,TBAC.P,b.TBAC,c.P
TBAC.P3.J2,TBAC,P,J2,Plasticiser,381,608.1428571,5.85390126,35.43949167,TBAC.P,b.TBAC,c.P
TBAC.P3.J3,TBAC,P,J3,Plasticiser,358,500.5964912,5.961180158,35.07731577,TBAC.P,b.TBAC,c.P
TBAC.P3.J4,TBAC,P,J4,Plasticiser,404,562.640625,5.872224785,39.01120271,TBAC.P,b.TBAC,c.P
TBAC.P3.J5,TBAC,P,J5,Plasticiser,438,743.6,5.893130759,42.35566139,TBAC.P,b.TBAC,c.P
TEC.AS3.J1,TEC,AS,J1,Plasticiser,640,915.7959184,7.634699228,55.80492131,TEC.AS,c.TEC,b.AS
TEC.AS3.J2,TEC,AS,J2,Plasticiser,670,925.0483871,7.32800012,55.67926419,TEC.AS,c.TEC,b.AS
TEC.AS3.J3,TEC,AS,J3,Plasticiser,583,843.9266055,6.553298773,48.1741576,TEC.AS,c.TEC,b.AS
TEC.AS3.J4,TEC,AS,J4,Plasticiser,570,852.03,6.697404552,48.20702736,TEC.AS,c.TEC,b.AS
TEC.AS3.J5,TEC,AS,J5,Plasticiser,564,920.483871,6.142279721,46.31612557,TEC.AS,c.TEC,b.AS
TEC.BS.J1,TEC,BS,J1,Plasticiser,546,793.0588235,6.299277533,46.02411423,TEC.BS,c.TEC,a.BS
TEC.BS.J2,TEC,BS,J2,Plasticiser,493,841.08,5.561971119,40.28863864,TEC.BS,c.TEC,a.BS
TEC.BS.J3,TEC,BS,J3,Plasticiser,450,753,5.425578039,40.00297607,TEC.BS,c.TEC,a.BS
TEC.BS.J4,TEC,BS,J4,Plasticiser,514,778.4252874,6.152323255,44.69161989,TEC.BS,c.TEC,a.BS
TEC.BS.J5,TEC,BS,J5,Plasticiser,415,709.0447761,4.807023082,35.98062276,TEC.BS,c.TEC,a.BS
TEC.P3.J1,TEC,P,J1,Plasticiser,385,703.0731707,6.484683748,36.79678968,TEC.P,c.TEC,c.P
TEC.P3.J2,TEC,P,J2,Plasticiser,488,712.25,6.577938802,44.95503232,TEC.P,c.TEC,c.P
TEC.P3.J3,TEC,P,J3,Plasticiser,450,676.9014085,6.724066509,41.25192357,TEC.P,c.TEC,c.P
TEC.P3.J4,TEC,P,J4,Plasticiser,567,907,6.837775323,48.89554772,TEC.P,c.TEC,c.P
TEC.P3.J5,TEC,P,J5,Plasticiser,428,644.9402985,6.341485806,41.59367085,TEC.P,c.TEC,c.P
